colsample_bytree,gamma,max_depth,min_child_weight,subsample,score
0.49775173718880006,0.22721308323622952,4.186949568053341,0.6679293739766579,0.4964752748743523,-0.1228854
0.4822298734436884,0.011237740831987858,9.553380988721756,3.000347798803219,0.4830134404773293,-0.125373
0.4999999999999955,0.2999999999999903,8.281998152144247,3.2899619289857744,0.4931589676504202,-0.12537320000000002
0.4806318421695671,0.2909438975757459,2.9215266791271826,0.5042169966651469,0.47211258412542323,-0.12736319999999998
0.5,0.3,1.0,5.0,0.5,-0.12736319999999998
0.034143923117605224,0.2999647538824102,9.899801272084835,3.3966001128305443,0.48607329754375195,-0.1293532
0.4913641801978604,0.01945658707904245,2.446973853282636,4.721608708332634,0.49168399240103733,-0.1298506
0.10556209744205215,0.2706107930377501,3.0647358516450307,2.6031579783799565,0.4994952831619387,-0.1298508
0.04057005667497002,0.029280744873745938,3.948944620746087,0.5,0.4999999990396265,-0.129851
0.5,0.3,7.929611723638948,4.999999989779277,0.5,-0.1308456
0.4999999769079388,0.3,4.279671920830333,4.919908224261541,0.5,-0.13134320000000002
0.01,0.3,2.4572027291821925,5.0,0.5,-0.1313434
0.4999999999716482,0.2999999999632144,1.0,2.4896141749460097,0.5,-0.13233820000000002
0.49999998624499353,0.3,10.0,5.0,0.5,-0.13233820000000002
0.499999980404976,0.29999999611228767,5.324838273695524,1.7647812830437315,0.4941440467145494,-0.132836
0.5,0.010000026388293582,1.0,0.5,0.5,-0.1338306
0.49999999722530863,0.2999999997431321,7.340119771633614,0.8927911348209099,0.5,-0.1343284
0.01,0.01,8.57072734548414,2.186593471542118,0.5,-0.13532320000000003
0.47719719581346226,0.29387329266041795,9.983479473705332,2.845645522556986,0.12857975266049568,-0.1388058
0.01,0.01,9.999999877497592,0.5,0.1,-0.16019899999999998
